"","pref_hiring_women","pref_hiring_blacks","racial_quotas_sports","redistribute_blacks","first_daughter","age","abortion_defect","abortion_income","race","sex","survey","anc_support","how_many_kids","how_many_daughters","benchwgt","prov","geotype","any_daughters","urban","black","white","coloured","indian","pref_hiring_women2","pref_hiring_blacks2","racial_quotas_sports2","redistribute_blacks2","pref_hiring_binary","abortion_defect_binary","abortion_income_binary"
"5852","neither nor","neither nor","neither nor","do not know",1,30,"always wrong","always wrong","black african",1,"sas09",0,1,1,1721.55907676709,"ec","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",0,0,0
"5892","strongly agree","agree","agree","agree",0,32,"always wrong","always wrong","black african",1,"sas09",1,1,0,8152.36906657619,"ec","tribal",0,0,1,0,0,0,"strongly agree","agree","agree","agree",1,0,0
"5913","agree","agree","agree","neither nor",0,39,"always wrong","always wrong","black african",1,"sas09",1,6,1,32609.4762663048,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","neither agree nor disagree",1,0,0
"5922","agree","strongly agree","agree","agree",1,61,"always wrong","always wrong","black african",0,"sas09",1,1,1,14048.7625787386,"ec","tribal",1,0,1,0,0,0,"agree","strongly agree","agree","agree",1,0,0
"5952","agree","strongly agree","agree","agree",1,47,"always wrong","always wrong","black african",1,"sas09",1,3,2,20312.4537150444,"ec","urban,formal",1,1,1,0,0,0,"agree","strongly agree","agree","agree",1,0,0
"6002","agree","agree","agree","agree",1,65,"always wrong","always wrong","black african",1,"sas09",0,2,2,25390.5671438055,"ec","urban,formal",1,1,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6013","strongly agree","strongly agree","do not know","agree",1,25,"always wrong","always wrong","black african",1,"sas09",0,1,1,20312.4537150444,"ec","urban,formal",1,1,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","agree",1,0,0
"6032","agree","agree","neither nor","agree",1,41,"not wrong at all","always wrong","black african",1,"sas09",1,2,1,3391.09254735215,"ec","rural,formal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,1,0
"6042","strongly agree","strongly agree","agree","strongly agree",1,36,"wrong only sometimes","wrong only sometimes","black african",1,"sas09",0,2,1,2260.72836490143,"ec","rural,formal",1,0,1,0,0,0,"strongly agree","strongly agree","agree","strongly agree",1,1,1
"6103","agree","agree","agree","agree",1,69,"always wrong","always wrong","black african",0,"sas09",1,1,1,10138.2374365155,"ec","rural,formal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6113","neither nor","neither nor","agree","neither nor",0,43,"always wrong","always wrong","black african",1,"sas09",1,1,0,1961.04230541836,"ec","rural,formal",0,0,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"6122","agree","agree","neither nor","agree",1,69,"not wrong at all","always wrong","black african",1,"sas09",0,2,1,5883.12691625508,"ec","rural,formal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,1,0
"6132","strongly agree","strongly agree","strongly agree","strongly agree",0,16,"always wrong","always wrong","black african",1,"sas09",0,1,0,10254.456925865,"ec","urban,informal",0,0,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,0,0
"6142","strongly agree","strongly agree","agree","agree",1,39,"always wrong","always wrong","black african",0,"sas09",1,2,1,7068.49405609069,"ec","urban,informal",1,0,1,0,0,0,"strongly agree","strongly agree","agree","agree",1,0,0
"6162","agree","agree","agree","agree",0,49,"always wrong","always wrong","black african",1,"sas09",0,1,0,4101.78277034599,"ec","urban,informal",0,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6182","agree","agree","agree","agree",0,29,"always wrong","always wrong","black african",1,"sas09",1,1,0,4101.78277034599,"ec","urban,informal",0,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6202","neither nor","neither nor","do not know","agree",0,53,"wrong only sometimes","always wrong","black african",1,"sas09",1,6,3,14848.4732884467,"ec","tribal",1,0,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","agree",0,1,0
"6213","agree","neither nor","do not know","agree",0,46,"always wrong","always wrong","black african",1,"sas09",1,3,1,9898.98219229777,"ec","tribal",1,0,1,0,0,0,"agree","neither agree nor disagree","neither agree nor disagree","agree",1,0,0
"6232","disagree","disagree","neither nor","neither nor",0,78,"wrong only sometimes","always wrong","black african",1,"sas09",1,4,1,39595.9287691911,"ec","tribal",1,0,1,0,0,0,"disagree","disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"6242","strongly disagree","do not know","do not know","do not know",0,45,"always wrong","always wrong","black african",1,"sas09",1,2,1,4949.49109614889,"ec","tribal",1,0,1,0,0,0,"strongly disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",0,0,0
"6252","agree","agree","agree","agree",1,18,"wrong only sometimes","almost always wrong","black african",1,"sas09",0,1,1,9898.98219229777,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,1,0
"6272","strongly agree","strongly agree","strongly agree","strongly agree",1,52,"always wrong","always wrong","black african",1,"sas09",1,1,1,8570.89919834028,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,0,0
"6282","strongly agree","strongly agree","agree","strongly agree",0,17,"always wrong","always wrong","black african",1,"sas09",0,1,0,21427.2479958507,"ec","tribal",0,0,1,0,0,0,"strongly agree","strongly agree","agree","strongly agree",1,0,0
"6292","agree","agree","agree","agree",1,49,"always wrong","always wrong","black african",1,"sas09",1,2,1,4285.44959917014,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6322","strongly agree","strongly agree","strongly agree","agree",1,22,"always wrong","always wrong","black african",1,"sas09",1,1,1,12856.3487975104,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","strongly agree","agree",1,0,0
"6332","strongly agree","strongly agree","agree","strongly agree",1,35,"always wrong","always wrong","black african",1,"sas09",0,2,2,4375.98271277868,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","agree","strongly agree",1,0,0
"6362","agree","agree","neither nor","agree",1,25,"always wrong","always wrong","black african",1,"sas09",1,2,1,8751.96542555736,"ec","tribal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"6382","strongly agree","strongly agree","agree","strongly agree",1,40,"always wrong","always wrong","black african",1,"sas09",1,3,3,8751.96542555736,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","agree","strongly agree",1,0,0
"6392","agree","strongly agree","agree","agree",0,28,"always wrong","always wrong","black african",1,"sas09",1,1,0,4375.98271277868,"ec","tribal",0,0,1,0,0,0,"agree","strongly agree","agree","agree",1,0,0
"6402","strongly agree","strongly agree","agree","agree",1,35,"almost always wrong","almost always wrong","black african",1,"sas09",1,1,1,17213.3787837019,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","agree","agree",1,0,0
"6422","strongly agree","strongly agree","do not know","strongly agree",1,69,"always wrong","always wrong","black african",1,"sas09",1,1,1,12910.0340877764,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","strongly agree",1,0,0
"6452","agree","agree","agree","agree",0,92,"always wrong","always wrong","black african",1,"sas09",1,1,0,8606.68939185094,"ec","tribal",0,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6462","agree","agree","neither nor","neither nor",1,21,"always wrong","always wrong","black african",1,"sas09",1,1,1,12910.0340877764,"ec","tribal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","neither agree nor disagree",1,0,0
"6502","strongly agree","agree","agree","agree",1,56,"always wrong","always wrong","black african",1,"sas09",1,1,1,8693.4448209208,"ec","tribal",1,0,1,0,0,0,"strongly agree","agree","agree","agree",1,0,0
"6522","agree","agree","agree","agree",1,54,"not wrong at all","wrong only sometimes","black african",0,"sas09",1,1,1,14981.1841543349,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,1,1
"6542","agree","agree","strongly agree","agree",0,51,"always wrong","always wrong","black african",1,"sas09",1,3,2,7992.8538088095,"ec","tribal",1,0,1,0,0,0,"agree","agree","strongly agree","agree",1,0,0
"6552","agree","agree","agree","agree",0,29,"always wrong","always wrong","black african",1,"sas09",1,4,1,15985.707617619,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6562","agree","agree","agree","agree",0,48,"always wrong","always wrong","black african",1,"sas09",0,3,1,23978.5614264285,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6572","agree","agree","agree","agree",0,37,"always wrong","always wrong","black african",1,"sas09",1,2,0,3996.42690440475,"ec","tribal",0,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6592","agree","agree","neither nor","agree",0,39,"always wrong","always wrong","black african",1,"sas09",1,3,2,7992.8538088095,"ec","tribal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"6602","strongly agree","strongly agree","agree","strongly agree",0,48,"always wrong","always wrong","black african",1,"sas09",1,5,3,15985.707617619,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","agree","strongly agree",1,0,0
"6613","agree","strongly agree","agree","agree",0,43,"always wrong","always wrong","black african",1,"sas09",1,3,1,20687.2381976591,"ec","tribal",1,0,1,0,0,0,"agree","strongly agree","agree","agree",1,0,0
"6652","strongly agree","strongly agree","do not know","strongly agree",1,22,"always wrong","always wrong","black african",1,"sas09",1,2,1,20687.2381976591,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","strongly agree",1,0,0
"6672","strongly agree","strongly agree","do not know","agree",1,40,"almost always wrong","almost always wrong","black african",1,"sas09",1,6,3,16549.7905581273,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","agree",1,0,0
"6692","agree","agree","strongly disagree","agree",1,47,"wrong only sometimes","always wrong","black african",1,"sas09",1,4,4,17441.5864569707,"ec","tribal",1,0,1,0,0,0,"agree","agree","strongly disagree","agree",1,1,0
"6702","agree","agree","agree","neither nor",1,41,"wrong only sometimes","wrong only sometimes","black african",1,"sas09",1,3,2,21801.9830712133,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","neither agree nor disagree",1,1,1
"6713","agree","agree","agree","agree",0,59,"wrong only sometimes","wrong only sometimes","black african",1,"sas09",1,1,0,8720.79322848533,"ec","tribal",0,0,1,0,0,0,"agree","agree","agree","agree",1,1,1
"6762","neither nor","neither nor","neither nor","disagree",0,20,"always wrong","always wrong","black african",1,"sas09",1,1,0,2094.53095703956,"ec","urban,informal",0,0,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","disagree",0,0,0
"6772","agree","agree","agree","agree",0,25,"wrong only sometimes","wrong only sometimes","black african",1,"sas09",0,1,0,4189.06191407912,"ec","urban,informal",0,0,1,0,0,0,"agree","agree","agree","agree",1,1,1
"6792","strongly agree","strongly agree","agree","agree",1,31,"always wrong","always wrong","black african",0,"sas09",1,5,3,10828.3498535076,"ec","urban,informal",1,0,1,0,0,0,"strongly agree","strongly agree","agree","agree",1,0,0
"6802","agree","agree","do not know","agree",0,37,"always wrong","always wrong","black african",1,"sas09",1,3,1,4189.06191407912,"ec","urban,informal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"6813","agree","agree","agree","agree",0,62,"always wrong","always wrong","black african",1,"sas09",0,5,1,18850.778613356,"ec","urban,informal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"6822","agree","agree","agree","strongly agree",0,40,"always wrong","always wrong","black african",0,"sas09",1,4,2,30164.0623374335,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","strongly agree",1,0,0
"6832","agree","agree","agree","agree",0,24,"wrong only sometimes","wrong only sometimes","black african",1,"sas09",1,1,0,4375.98271277868,"ec","tribal",0,0,1,0,0,0,"agree","agree","agree","agree",1,1,1
"6862","neither nor","strongly agree","agree","agree",0,78,"almost always wrong","always wrong","black african",1,"sas09",1,4,2,21879.9135638934,"ec","tribal",1,0,1,0,0,0,"neither agree nor disagree","strongly agree","agree","agree",0,0,0
"6872","neither nor","neither nor","agree","agree",1,19,"always wrong","always wrong","black african",1,"sas09",1,1,1,17503.9308511147,"ec","tribal",1,0,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","agree","agree",0,0,0
"6882","agree","agree","agree","strongly agree",0,64,"always wrong","always wrong","black african",1,"sas09",1,1,0,17503.9308511147,"ec","tribal",0,0,1,0,0,0,"agree","agree","agree","strongly agree",1,0,0
"6902","strongly agree","strongly agree","do not know","agree",1,71,"always wrong","always wrong","black african",1,"sas09",1,1,1,12987.2736079597,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","agree",1,0,0
"6913","strongly agree","agree","agree","disagree",1,70,"almost always wrong","always wrong","black african",1,"sas09",1,2,2,17316.3648106129,"ec","tribal",1,0,1,0,0,0,"strongly agree","agree","agree","disagree",1,0,0
"6922","agree","agree","agree","agree",1,70,"wrong only sometimes","wrong only sometimes","black african",1,"sas09",0,3,2,21645.4560132662,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,1,1
"6932","agree","agree","agree","agree",0,36,"wrong only sometimes","wrong only sometimes","black african",0,"sas09",1,4,1,14920.4173636176,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,1,1
"6952","agree","agree","agree","strongly agree",0,31,"always wrong","always wrong","black african",1,"sas09",1,5,1,8658.18240530646,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","strongly agree",1,0,0
"6972","agree","agree","do not know","agree",1,58,"always wrong","always wrong","black african",1,"sas09",1,1,1,12837.0076323304,"ec","tribal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"6992","agree","agree","disagree","agree",1,49,"always wrong","always wrong","black african",1,"sas09",1,2,1,4279.00254411014,"ec","tribal",1,0,1,0,0,0,"agree","agree","disagree","agree",1,0,0
"7013","agree","agree","neither nor","agree",1,39,"always wrong","always wrong","black african",1,"sas09",1,5,2,12837.0076323304,"ec","tribal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"7022","agree","strongly agree","agree","agree",0,57,"always wrong","always wrong","black african",1,"sas09",1,3,0,12837.0076323304,"ec","tribal",0,0,1,0,0,0,"agree","strongly agree","agree","agree",1,0,0
"7052","strongly agree","strongly agree","do not know","strongly agree",1,42,"always wrong","always wrong","black african",1,"sas09",1,7,5,26448.2515415312,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","strongly agree",1,0,0
"7072","agree","agree","neither nor","agree",1,44,"always wrong","always wrong","black african",1,"sas09",1,1,1,35264.3353887083,"ec","tribal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"7082","strongly disagree","strongly disagree","do not know","do not know",0,53,"not wrong at all","always wrong","black african",1,"sas09",1,6,2,30856.2934651198,"ec","tribal",1,0,1,0,0,0,"strongly disagree","strongly disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"7113","agree","agree","neither nor","agree",1,21,"always wrong","always wrong","black african",1,"sas09",0,1,1,23832.124751877,"ec","urban,formal",1,1,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"7132","do not know","do not know","agree","do not know",0,60,"always wrong","always wrong","indian or asian",0,"sas09",0,2,1,39394.5541729684,"ec","urban,formal",1,1,0,0,0,1,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"7142","agree","agree","do not know","agree",0,52,"always wrong","always wrong","black african",1,"sas09",1,1,0,17874.0935639077,"ec","urban,formal",0,1,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"7202","strongly agree","strongly agree","do not know","strongly agree",1,55,"always wrong","always wrong","black african",1,"sas09",1,1,1,12785.0539705437,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","strongly agree",1,0,0
"7213","agree","strongly agree","agree","agree",0,50,"always wrong","always wrong","black african",1,"sas09",1,1,0,21308.4232842395,"ec","tribal",0,0,1,0,0,0,"agree","strongly agree","agree","agree",1,0,0
"7222","agree","agree","strongly agree","agree",1,54,"wrong only sometimes","wrong only sometimes","black african",1,"sas09",1,3,2,12785.0539705437,"ec","tribal",1,0,1,0,0,0,"agree","agree","strongly agree","agree",1,1,1
"7242","strongly agree","strongly agree","strongly agree","agree",0,38,"always wrong","always wrong","black african",1,"sas09",0,3,1,18016.669793608,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","strongly agree","agree",1,0,0
"7252","agree","agree","agree","agree",0,36,"always wrong","always wrong","black african",1,"sas09",1,3,0,4504.16744840199,"ec","tribal",0,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"7262","strongly agree","strongly agree","disagree","strongly agree",1,80,"always wrong","always wrong","black african",1,"sas09",1,1,1,18016.669793608,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","disagree","strongly agree",1,0,0
"7282","strongly agree","agree","agree","agree",0,30,"always wrong","always wrong","black african",0,"sas09",1,1,0,15523.8259163008,"ec","tribal",0,0,1,0,0,0,"strongly agree","agree","agree","agree",1,0,0
"7292","agree","agree","agree","agree",1,57,"always wrong","always wrong","black african",1,"sas09",1,2,1,13512.502345206,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"7302","strongly agree","agree","agree","agree",0,50,"always wrong","always wrong","black african",1,"sas09",1,1,0,12837.0076323304,"ec","tribal",0,0,1,0,0,0,"strongly agree","agree","agree","agree",1,0,0
"7322","agree","agree","agree","agree",1,48,"always wrong","always wrong","black african",1,"sas09",1,3,3,8558.00508822027,"ec","tribal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"7342","strongly agree","strongly agree","do not know","agree",1,81,"always wrong","always wrong","black african",0,"sas09",1,1,1,44243.3533063305,"ec","tribal",1,0,1,0,0,0,"strongly agree","strongly agree","neither agree nor disagree","agree",1,0,0
"7362","agree","strongly agree","agree","agree",1,28,"almost always wrong","always wrong","black african",1,"sas09",1,6,4,8558.00508822027,"ec","tribal",1,0,1,0,0,0,"agree","strongly agree","agree","agree",1,0,0
"7392","agree","agree","neither nor","neither nor",0,36,"almost always wrong","always wrong","black african",1,"sas09",1,1,0,1926.62332659894,"ec","rural,formal",0,0,1,0,0,0,"agree","agree","neither agree nor disagree","neither agree nor disagree",1,0,0
"7422","agree","agree","agree","neither nor",1,50,"always wrong","always wrong","coloured",1,"sas09",0,3,2,4426.94116188821,"ec","urban,formal",1,1,0,0,1,0,"agree","agree","agree","neither agree nor disagree",1,0,0
"7492","agree","agree","agree","strongly agree",0,33,"always wrong","almost always wrong","white",0,"sas09",0,1,0,3929.26220016186,"ec","urban,formal",0,1,0,1,0,0,"agree","agree","agree","strongly agree",1,0,0
"7502","strongly agree","agree","agree","disagree",1,58,"wrong only sometimes","always wrong","white",0,"sas09",0,1,1,5893.89330024279,"ec","urban,formal",1,1,0,1,0,0,"strongly agree","agree","agree","disagree",1,1,0
"7513","neither nor","neither nor","neither nor","disagree",1,48,"wrong only sometimes","always wrong","white",0,"sas09",0,1,1,3929.26220016186,"ec","urban,formal",1,1,0,1,0,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","disagree",0,1,0
"7522","agree","agree","agree","strongly agree",0,27,"not wrong at all","not wrong at all","black african",1,"sas09",0,1,0,4289.25626780755,"ec","urban,formal",0,1,1,0,0,0,"agree","agree","agree","strongly agree",1,1,1
"7532","agree","agree","agree","strongly agree",1,37,"always wrong","always wrong","white",0,"sas09",1,1,1,3929.26220016186,"ec","urban,formal",1,1,0,1,0,0,"agree","agree","agree","strongly agree",1,0,0
"7552","agree","agree","disagree","agree",0,39,"always wrong","always wrong","white",0,"sas09",1,1,0,3904.63434591583,"ec","urban,formal",0,1,0,1,0,0,"agree","agree","disagree","agree",1,0,0
"7592","strongly agree","strongly agree","disagree","agree",0,23,"always wrong","always wrong","black african",1,"sas09",1,1,0,3409.89763239037,"ec","urban,formal",0,1,1,0,0,0,"strongly agree","strongly agree","disagree","agree",1,0,0
"7602","agree","neither nor","agree","disagree",0,53,"wrong only sometimes","always wrong","white",1,"sas09",0,2,1,6403.65771987337,"ec","urban,formal",1,1,0,1,0,0,"agree","neither agree nor disagree","agree","disagree",1,1,0
"7613","neither nor","disagree","neither nor","neither nor",0,43,"wrong only sometimes","almost always wrong","white",1,"sas09",0,1,0,4269.10514658225,"ec","urban,formal",0,1,0,1,0,0,"neither agree nor disagree","disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"7622","disagree","disagree","agree","neither nor",0,35,"always wrong","always wrong","indian or asian",0,"sas09",0,3,1,3106.46793459914,"ec","urban,formal",1,1,0,0,0,1,"disagree","disagree","agree","neither agree nor disagree",0,0,0
"7632","agree","strongly agree","strongly agree","strongly agree",0,37,"wrong only sometimes","always wrong","black african",0,"sas09",0,1,0,3238.5282470397,"ec","urban,formal",0,1,1,0,0,0,"agree","strongly agree","strongly agree","strongly agree",1,1,0
"7642","strongly agree","strongly agree","strongly agree","strongly agree",1,33,"always wrong","always wrong","black african",1,"sas09",0,2,1,1879.28846789368,"ec","urban,formal",1,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,0,0
"7702","neither nor","neither nor","do not know","do not know",0,65,"always wrong","always wrong","coloured",1,"sas09",1,2,1,2927.39592035373,"ec","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",0,0,0
"7713","agree","agree","agree","agree",0,54,"wrong only sometimes","wrong only sometimes","coloured",0,"sas09",1,3,1,5177.06505627881,"ec","urban,formal",1,1,0,0,1,0,"agree","agree","agree","agree",1,1,1
"7722","agree","agree","agree","neither nor",1,65,"wrong only sometimes","wrong only sometimes","coloured",1,"sas09",0,1,1,1951.59728023582,"ec","urban,formal",1,1,0,0,1,0,"agree","agree","agree","neither agree nor disagree",1,1,1
"7752","agree","agree","disagree","strongly agree",0,41,"always wrong","always wrong","coloured",1,"sas09",0,2,1,2927.39592035373,"ec","urban,formal",1,1,0,0,1,0,"agree","agree","disagree","strongly agree",1,0,0
"7762","disagree","disagree","neither nor","do not know",0,57,"always wrong","always wrong","indian or asian",1,"sas09",0,4,1,2113.22124909254,"ec","urban,formal",1,1,0,0,0,1,"disagree","disagree","neither agree nor disagree","neither agree nor disagree",0,0,0
"7772","strongly disagree","strongly disagree","disagree","neither nor",1,35,"always wrong","dk","indian or asian",0,"sas09",0,2,1,1566.68581470514,"ec","urban,formal",1,1,0,0,0,1,"strongly disagree","strongly disagree","disagree","neither agree nor disagree",0,0,0
"7782","agree","neither nor","neither nor","agree",0,42,"almost always wrong","wrong only sometimes","indian or asian",1,"sas09",1,1,0,845.288499637015,"ec","urban,formal",0,1,0,0,0,1,"agree","neither agree nor disagree","neither agree nor disagree","agree",1,0,1
"7792","agree","agree","agree","agree",0,43,"always wrong","almost always wrong","coloured",1,"sas09",0,1,0,1666.32300871519,"ec","urban,formal",0,1,0,0,1,0,"agree","agree","agree","agree",1,0,0
"7802","agree","agree","agree","agree",0,56,"almost always wrong","almost always wrong","indian or asian",0,"sas09",1,2,1,1566.68581470514,"ec","urban,formal",1,1,0,0,0,1,"agree","agree","agree","agree",1,0,0
"7832","strongly agree","strongly agree","strongly agree","agree",1,35,"always wrong","always wrong","coloured",1,"sas09",0,2,1,1973.79339630504,"ec","urban,formal",1,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","agree",1,0,0
"7842","agree","agree","agree","agree",0,48,"wrong only sometimes","wrong only sometimes","coloured",1,"sas09",1,1,0,2960.69009445756,"ec","urban,formal",0,1,0,0,1,0,"agree","agree","agree","agree",1,1,1
"7852","disagree","disagree","neither nor","agree",1,31,"always wrong","always wrong","coloured",0,"sas09",1,1,1,3490.63027289112,"ec","urban,formal",1,1,0,0,1,0,"disagree","disagree","neither agree nor disagree","agree",0,0,0
"7872","agree","agree","do not know","neither nor",0,47,"always wrong","always wrong","coloured",0,"sas09",1,1,0,6981.26054578223,"ec","urban,formal",0,1,0,0,1,0,"agree","agree","neither agree nor disagree","neither agree nor disagree",1,0,0
"7882","agree","agree","agree","agree",1,45,"wrong only sometimes","wrong only sometimes","coloured",1,"sas09",0,1,1,2960.69009445756,"ec","urban,formal",1,1,0,0,1,0,"agree","agree","agree","agree",1,1,1
"7902","strongly agree","agree","agree","agree",1,61,"almost always wrong","almost always wrong","coloured",0,"sas09",1,1,1,5126.86321330883,"ec","urban,formal",1,1,0,0,1,0,"strongly agree","agree","agree","agree",1,0,0
"7913","agree","agree","agree","agree",0,49,"wrong only sometimes","wrong only sometimes","coloured",1,"sas09",0,1,0,1932.67270054869,"ec","urban,formal",0,1,0,0,1,0,"agree","agree","agree","agree",1,1,1
"7922","agree","agree","do not know","do not know",1,65,"not wrong at all","always wrong","coloured",1,"sas09",1,4,2,7730.69080219475,"ec","urban,formal",1,1,0,0,1,0,"agree","agree","neither agree nor disagree","neither agree nor disagree",1,1,0
"7932","agree","agree","strongly disagree","do not know",0,62,"not wrong at all","always wrong","coloured",0,"sas09",0,2,0,3417.90880887255,"ec","urban,formal",0,1,0,0,1,0,"agree","agree","strongly disagree","neither agree nor disagree",1,1,0
"7972","agree","agree","do not know","do not know",1,82,"not wrong at all","always wrong","white",1,"sas09",0,1,1,4304.05635373347,"ec","urban,formal",1,1,0,1,0,0,"agree","agree","neither agree nor disagree","neither agree nor disagree",1,1,0
"8002","agree","agree","agree","agree",0,46,"wrong only sometimes","wrong only sometimes","white",1,"sas09",0,2,1,6456.0845306002,"ec","urban,formal",1,1,0,1,0,0,"agree","agree","agree","agree",1,1,1
"8032","strongly agree","neither nor","neither nor","agree",1,67,"always wrong","always wrong","black african",0,"sas09",1,1,1,5924.29504729788,"ec","urban,formal",1,1,1,0,0,0,"strongly agree","neither agree nor disagree","neither agree nor disagree","agree",1,0,0
"8042","agree","strongly agree","agree","agree",0,32,"always wrong","always wrong","coloured",1,"sas09",0,1,0,3891.88095304999,"ec","urban,formal",0,1,0,0,1,0,"agree","strongly agree","agree","agree",1,0,0
"8052","strongly agree","agree","do not know","do not know",1,34,"always wrong","always wrong","coloured",1,"sas09",0,2,1,1945.94047652499,"ec","urban,formal",1,1,0,0,1,0,"strongly agree","agree","neither agree nor disagree","neither agree nor disagree",1,0,0
"8062","neither nor","strongly agree","do not know","neither nor",1,32,"not wrong at all","always wrong","coloured",1,"sas09",1,3,3,2918.91071478749,"ec","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","strongly agree","neither agree nor disagree","neither agree nor disagree",0,1,0
"8113","agree","agree","agree","agree",0,35,"always wrong","always wrong","indian or asian",0,"sas09",1,6,3,1620.09555838826,"ec","urban,formal",1,1,0,0,0,1,"agree","agree","agree","agree",1,0,0
"8122","agree","agree","agree","agree",0,40,"almost always wrong","almost always wrong","coloured",0,"sas09",0,4,1,1828.40045585257,"ec","urban,formal",1,1,0,0,1,0,"agree","agree","agree","agree",1,0,0
"8132","neither nor","strongly agree","strongly agree","do not know",1,28,"always wrong","always wrong","coloured",1,"sas09",1,2,1,1033.87768495283,"ec","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","strongly agree","strongly agree","neither agree nor disagree",0,0,0
"8172","agree","disagree","neither nor","strongly agree",0,37,"always wrong","always wrong","indian or asian",1,"sas09",0,1,0,1311.1577295506,"ec","urban,formal",0,1,0,0,0,1,"agree","disagree","neither agree nor disagree","strongly agree",1,0,0
"8192","agree","agree","neither nor","agree",0,48,"always wrong","always wrong","indian or asian",1,"sas09",0,2,1,3681.88160257989,"ec","urban,formal",1,1,0,0,0,1,"agree","agree","neither agree nor disagree","agree",1,0,0
